drug_a_molecular_weight,drug_a_solubility,drug_a_half_life,drug_a_category,drug_b_category,patient_age_group,interaction_severity
196.06,11.84,32.58,anti-inflammatory,antidepressant,31-50,none
635.61,44.93,17.33,analgesic,antidepressant,18-30,none
279.97,44.58,6.22,anti-inflammatory,cardiovascular,18-30,mild
433.31,10.89,44.27,antibiotic,cardiovascular,31-50,none
383.08,13.56,24.85,analgesic,antiviral,31-50,none
332.39,5.64,34.05,cardiovascular,antibiotic,51-70,none
251.91,39.75,68.65,antibiotic,anti-inflammatory,70+,moderate
705.75,4.42,61.85,cardiovascular,antibiotic,31-50,mild
624.51,36.84,18.51,antidepressant,cardiovascular,31-50,moderate
729.68,29.63,11.58,anti-inflammatory,analgesic,31-50,severe
626.76,25.26,31.22,cardiovascular,cardiovascular,51-70,moderate
602.82,4.99,36.17,analgesic,anti-inflammatory,51-70,none
291.7,17.98,17.97,analgesic,analgesic,31-50,none
348.14,35.19,61.91,antiviral,anti-inflammatory,18-30,none
718.23,20.33,57.08,antidepressant,antiviral,31-50,mild
561.71,43.03,6.02,antiviral,antidepressant,31-50,none
603.74,30.66,41.84,antibiotic,antiviral,18-30,severe
722.55,36.81,4.89,antiviral,antidepressant,70+,mild
552.44,18.34,13.44,anti-inflammatory,antiviral,18-30,mild
611.07,10.32,70.67,antibiotic,anti-inflammatory,18-30,none
527.08,47.96,15.9,antiviral,antibiotic,31-50,moderate
733.66,25.23,31.03,analgesic,analgesic,31-50,none
689.21,23.56,38.77,anti-inflammatory,antidepressant,31-50,mild
389.29,33.7,50.22,analgesic,antibiotic,70+,none
733.66,14.49,68.92,analgesic,antibiotic,31-50,none
603.1,24.87,63.12,anti-inflammatory,antiviral,18-30,none
755.62,23.75,30.83,antiviral,antiviral,18-30,mild
272.89,1.2,57.94,anti-inflammatory,antiviral,31-50,none
661.44,24.36,48.28,anti-inflammatory,anti-inflammatory,31-50,none
347.65,6.68,57.04,antibiotic,antidepressant,18-30,none
699.58,7.5,21.19,antibiotic,anti-inflammatory,70+,moderate
612.68,14.33,70.1,antiviral,antiviral,70+,mild
226.0,49.69,41.79,cardiovascular,antidepressant,31-50,mild
283.35,35.39,48.25,antidepressant,antibiotic,31-50,none
346.01,46.03,29.72,cardiovascular,antibiotic,70+,none
753.08,7.89,69.88,anti-inflammatory,anti-inflammatory,31-50,none
338.39,47.21,70.63,anti-inflammatory,antiviral,18-30,none
517.4,45.35,32.39,antiviral,analgesic,51-70,mild
508.12,15.47,29.52,antibiotic,cardiovascular,31-50,none
362.14,30.45,14.86,anti-inflammatory,antibiotic,51-70,mild
204.33,42.49,49.07,analgesic,anti-inflammatory,31-50,none
468.8,30.2,37.32,analgesic,antiviral,31-50,mild
390.26,18.7,21.21,antidepressant,antidepressant,70+,moderate
718.3,4.47,52.68,cardiovascular,antiviral,70+,mild
673.69,48.52,31.09,cardiovascular,antibiotic,51-70,none
538.66,7.27,22.53,anti-inflammatory,antidepressant,18-30,moderate
207.49,20.53,65.92,cardiovascular,antibiotic,31-50,none
611.66,37.79,10.72,antibiotic,cardiovascular,31-50,none
346.3,29.3,36.08,antiviral,cardiovascular,18-30,none
664.29,7.79,22.31,antiviral,antiviral,31-50,none
421.15,24.65,49.84,antibiotic,analgesic,18-30,none
330.19,49.72,5.74,antiviral,antidepressant,31-50,none
558.2,23.85,50.29,analgesic,antidepressant,31-50,none
523.92,42.28,12.56,analgesic,antibiotic,31-50,none
256.15,13.71,30.79,antidepressant,analgesic,31-50,none
494.25,46.82,37.48,antiviral,antibiotic,51-70,mild
359.69,15.88,60.99,antidepressant,antidepressant,51-70,none
597.43,4.88,42.18,antibiotic,analgesic,18-30,none
417.8,46.05,12.58,antibiotic,antibiotic,31-50,moderate
690.52,39.78,40.66,antiviral,anti-inflammatory,51-70,none
671.68,20.93,66.04,analgesic,antibiotic,70+,none
461.69,15.65,26.74,cardiovascular,anti-inflammatory,31-50,mild
348.04,37.25,9.42,antibiotic,antiviral,18-30,mild
297.27,6.35,10.25,analgesic,cardiovascular,51-70,mild
653.55,37.89,4.02,analgesic,analgesic,51-70,none
483.76,3.06,9.44,antidepressant,analgesic,18-30,none
658.54,46.01,15.58,antibiotic,antibiotic,51-70,none
169.02,7.36,53.98,antidepressant,anti-inflammatory,31-50,none
623.56,12.17,41.49,analgesic,anti-inflammatory,51-70,mild
493.75,35.82,69.46,antibiotic,anti-inflammatory,18-30,mild
748.31,42.58,34.7,antiviral,anti-inflammatory,18-30,none
587.79,5.46,60.27,cardiovascular,cardiovascular,18-30,none
790.0,6.27,8.83,antibiotic,cardiovascular,51-70,mild
608.08,27.9,3.88,antidepressant,cardiovascular,18-30,moderate
352.8,48.81,32.52,anti-inflammatory,cardiovascular,31-50,mild
705.99,9.52,5.94,cardiovascular,antiviral,31-50,moderate
586.86,19.88,38.11,antiviral,analgesic,18-30,none
406.63,34.78,70.41,antiviral,antibiotic,18-30,moderate
536.72,49.53,9.72,cardiovascular,antiviral,31-50,none
647.13,38.32,43.15,antiviral,cardiovascular,31-50,none
791.89,25.62,11.46,cardiovascular,analgesic,18-30,none
468.07,11.62,67.91,analgesic,analgesic,51-70,mild
167.39,9.04,43.93,antidepressant,antibiotic,31-50,none
555.1,38.03,47.94,anti-inflammatory,cardiovascular,51-70,mild
468.66,13.16,25.4,anti-inflammatory,anti-inflammatory,18-30,moderate
646.58,49.54,63.49,analgesic,cardiovascular,31-50,moderate
173.39,8.93,47.82,antidepressant,antiviral,18-30,none
429.94,15.69,28.62,analgesic,anti-inflammatory,51-70,none
521.94,23.85,61.66,anti-inflammatory,analgesic,31-50,none
471.55,48.55,44.8,antidepressant,antidepressant,31-50,mild
694.01,17.51,53.69,analgesic,antiviral,31-50,none
213.28,17.32,26.37,antidepressant,analgesic,51-70,none
535.15,45.53,5.65,antidepressant,analgesic,31-50,moderate
162.81,16.37,33.72,cardiovascular,anti-inflammatory,31-50,none
455.3,1.21,23.47,anti-inflammatory,cardiovascular,31-50,none
213.52,24.47,50.05,antibiotic,antidepressant,31-50,none
258.31,15.05,69.83,antibiotic,cardiovascular,51-70,none
783.17,3.86,61.37,antibiotic,antidepressant,31-50,none
672.99,31.27,69.01,antiviral,anti-inflammatory,18-30,mild
368.94,3.46,57.88,cardiovascular,cardiovascular,18-30,none
346.2,40.23,31.74,anti-inflammatory,antidepressant,18-30,none
411.5,31.29,33.18,anti-inflammatory,antibiotic,70+,none
271.25,25.01,47.92,antiviral,cardiovascular,31-50,none
564.65,40.47,61.55,cardiovascular,anti-inflammatory,51-70,mild
450.62,12.09,54.0,antidepressant,cardiovascular,31-50,moderate
709.12,45.57,46.01,cardiovascular,antidepressant,51-70,moderate
540.8,20.35,9.06,antibiotic,analgesic,18-30,none
687.7,23.26,40.75,cardiovascular,cardiovascular,51-70,mild
238.68,12.99,58.05,antiviral,anti-inflammatory,18-30,none
704.14,48.19,35.49,analgesic,analgesic,70+,moderate
713.66,45.04,29.9,antidepressant,antiviral,51-70,mild
208.7,47.16,52.42,antibiotic,antibiotic,18-30,none
489.27,41.47,68.43,anti-inflammatory,antidepressant,31-50,none
208.66,30.03,55.9,antidepressant,antidepressant,51-70,none
633.57,46.78,16.48,analgesic,antibiotic,18-30,none
328.46,20.48,62.27,analgesic,cardiovascular,31-50,mild
504.73,23.8,18.49,antidepressant,antibiotic,31-50,none
615.19,41.09,2.5,anti-inflammatory,analgesic,51-70,none
598.94,39.46,18.02,anti-inflammatory,cardiovascular,31-50,none
773.01,18.21,58.67,analgesic,anti-inflammatory,70+,mild
741.36,19.71,70.44,antidepressant,antidepressant,18-30,none
684.76,11.85,15.94,antibiotic,cardiovascular,51-70,moderate
414.09,1.79,62.52,cardiovascular,cardiovascular,51-70,none
752.22,16.7,30.99,analgesic,antibiotic,51-70,none
541.38,40.69,53.38,cardiovascular,antiviral,18-30,none
183.86,32.12,45.74,antiviral,antibiotic,18-30,moderate
524.28,5.63,18.72,antiviral,antiviral,51-70,mild
700.52,34.32,57.28,antidepressant,cardiovascular,31-50,moderate
596.85,41.36,57.77,antibiotic,analgesic,31-50,none
268.23,43.83,68.08,anti-inflammatory,antibiotic,18-30,moderate
547.8,11.51,7.32,cardiovascular,antibiotic,31-50,none
703.69,2.58,44.88,anti-inflammatory,antidepressant,18-30,mild
518.71,0.8,38.33,cardiovascular,antiviral,31-50,none
295.91,10.24,68.17,antidepressant,antidepressant,51-70,none
284.29,10.86,59.51,antiviral,antiviral,18-30,mild
267.24,39.64,3.04,antidepressant,antibiotic,51-70,mild
594.77,22.96,1.73,antibiotic,antidepressant,70+,none
408.41,10.69,28.23,cardiovascular,antiviral,31-50,mild
183.87,46.56,34.44,antidepressant,anti-inflammatory,70+,none
778.69,29.95,54.13,analgesic,analgesic,31-50,none
406.55,18.61,69.73,anti-inflammatory,analgesic,31-50,none
319.19,25.24,67.05,cardiovascular,antibiotic,18-30,none
319.26,15.73,70.47,cardiovascular,antidepressant,51-70,mild
752.05,14.22,63.26,anti-inflammatory,antidepressant,31-50,none
628.97,24.61,68.45,anti-inflammatory,antiviral,51-70,mild
435.99,9.53,4.87,antibiotic,analgesic,31-50,mild
225.42,44.77,36.14,cardiovascular,antidepressant,70+,severe
514.56,22.94,8.99,antiviral,antibiotic,18-30,severe
267.43,8.5,37.12,antidepressant,anti-inflammatory,70+,mild
530.69,29.22,69.99,anti-inflammatory,anti-inflammatory,18-30,mild
473.77,4.81,24.33,antidepressant,antiviral,70+,none
229.29,18.74,66.97,analgesic,antidepressant,18-30,mild
578.7,22.76,68.82,anti-inflammatory,antiviral,18-30,mild
780.35,32.84,68.51,antidepressant,antiviral,70+,moderate
234.06,43.18,57.91,antidepressant,antidepressant,51-70,none
633.47,27.4,43.76,analgesic,cardiovascular,31-50,moderate
409.3,1.12,15.78,cardiovascular,cardiovascular,31-50,moderate
639.16,32.74,9.56,cardiovascular,cardiovascular,51-70,severe
542.28,18.02,7.82,antidepressant,anti-inflammatory,18-30,none
439.54,19.47,20.06,anti-inflammatory,cardiovascular,18-30,none
271.13,31.57,7.6,anti-inflammatory,antidepressant,70+,none
589.69,32.42,51.67,cardiovascular,anti-inflammatory,51-70,none
434.28,45.37,34.91,antibiotic,antibiotic,51-70,none
345.27,12.51,31.37,anti-inflammatory,analgesic,31-50,mild
481.92,20.71,33.99,antiviral,anti-inflammatory,51-70,none
381.05,29.32,55.57,analgesic,analgesic,51-70,none
697.89,2.36,30.55,antiviral,antidepressant,31-50,mild
620.66,37.89,32.95,antidepressant,antidepressant,70+,mild
270.31,37.38,43.89,antiviral,analgesic,31-50,none
161.64,19.81,1.94,antiviral,cardiovascular,31-50,none
633.76,36.32,22.5,anti-inflammatory,antidepressant,51-70,mild
776.04,33.79,58.13,analgesic,antibiotic,18-30,mild
602.42,9.49,2.9,cardiovascular,antiviral,18-30,moderate
307.16,42.12,61.93,anti-inflammatory,antibiotic,18-30,mild
424.22,5.91,65.07,antiviral,antiviral,31-50,none
465.28,1.08,32.92,antibiotic,antibiotic,31-50,mild
367.0,5.22,61.18,cardiovascular,cardiovascular,51-70,none
629.1,29.83,40.36,antidepressant,analgesic,31-50,none
547.47,33.97,58.98,cardiovascular,antibiotic,51-70,none
493.4,21.16,23.43,analgesic,antidepressant,70+,none
471.61,46.95,25.62,antiviral,cardiovascular,18-30,none
337.21,9.69,25.41,antibiotic,anti-inflammatory,18-30,moderate
541.37,42.14,47.64,antibiotic,antidepressant,51-70,none
403.74,20.9,67.82,antiviral,antiviral,31-50,none
255.32,10.44,50.04,analgesic,antiviral,31-50,none
262.64,7.9,35.95,cardiovascular,cardiovascular,31-50,none
161.78,44.06,26.35,antibiotic,antibiotic,51-70,none
731.4,1.7,5.52,cardiovascular,analgesic,51-70,moderate
317.58,17.08,26.22,analgesic,anti-inflammatory,31-50,none
248.27,34.54,37.59,antiviral,analgesic,51-70,mild
447.14,42.1,8.88,analgesic,anti-inflammatory,51-70,none
707.95,5.18,40.94,anti-inflammatory,analgesic,18-30,mild
385.06,36.44,51.28,anti-inflammatory,cardiovascular,51-70,none
214.54,32.39,24.76,antibiotic,analgesic,51-70,none
649.87,12.34,58.45,antidepressant,antidepressant,31-50,mild
205.4,18.68,54.59,antidepressant,antiviral,51-70,mild
424.12,11.49,57.93,cardiovascular,cardiovascular,70+,moderate
768.7,25.86,49.44,analgesic,cardiovascular,18-30,severe
763.37,4.33,23.35,antibiotic,cardiovascular,18-30,none
643.48,33.04,46.54,anti-inflammatory,analgesic,70+,moderate
719.28,48.64,30.77,antiviral,antiviral,31-50,none
347.81,37.16,65.56,analgesic,antidepressant,70+,none
412.56,32.23,64.02,anti-inflammatory,anti-inflammatory,51-70,none
603.36,44.39,56.49,cardiovascular,antibiotic,70+,moderate
403.5,35.97,63.47,anti-inflammatory,anti-inflammatory,31-50,mild
210.33,27.63,38.01,antiviral,antibiotic,18-30,moderate
318.15,41.63,22.58,cardiovascular,anti-inflammatory,18-30,none
188.96,18.71,45.52,antidepressant,analgesic,18-30,none
343.67,36.87,33.17,antibiotic,antiviral,70+,mild
517.64,44.73,45.57,anti-inflammatory,anti-inflammatory,18-30,none
679.8,28.68,10.94,cardiovascular,anti-inflammatory,51-70,moderate
218.4,25.87,14.67,antidepressant,cardiovascular,18-30,mild
203.27,3.2,64.08,cardiovascular,antibiotic,31-50,none
390.04,26.36,42.77,anti-inflammatory,cardiovascular,70+,none
797.73,34.48,68.3,antiviral,cardiovascular,51-70,none
243.83,6.44,51.49,antibiotic,antiviral,31-50,none
446.03,1.73,12.14,anti-inflammatory,antidepressant,70+,none
227.2,42.63,8.83,antidepressant,anti-inflammatory,31-50,none
348.2,18.79,21.87,analgesic,antibiotic,18-30,none
533.26,2.53,64.49,antidepressant,antibiotic,18-30,none
505.9,3.47,4.17,cardiovascular,anti-inflammatory,31-50,none
444.04,16.96,27.79,antiviral,anti-inflammatory,18-30,mild
645.09,33.39,11.58,antiviral,antidepressant,18-30,mild
556.1,31.22,28.49,cardiovascular,antidepressant,31-50,severe
628.34,32.33,62.48,antiviral,analgesic,31-50,none
667.5,35.4,40.83,analgesic,antiviral,31-50,mild
524.96,2.74,41.49,antibiotic,cardiovascular,31-50,mild
162.13,32.95,38.76,analgesic,antidepressant,51-70,none
726.98,22.27,58.29,anti-inflammatory,antidepressant,31-50,moderate
179.24,43.11,2.65,cardiovascular,antibiotic,31-50,none
317.17,5.82,8.05,antibiotic,antidepressant,18-30,none
316.11,4.57,22.78,cardiovascular,antiviral,18-30,none
167.66,3.02,28.69,antidepressant,antibiotic,31-50,none
360.74,18.84,59.77,analgesic,analgesic,18-30,none
470.44,37.64,28.34,analgesic,antidepressant,18-30,none
452.14,20.41,35.38,cardiovascular,antiviral,18-30,none
776.26,33.79,18.49,anti-inflammatory,antiviral,51-70,none
348.0,20.4,6.96,antiviral,anti-inflammatory,18-30,mild
790.45,39.12,39.17,cardiovascular,anti-inflammatory,31-50,none
150.65,23.29,59.89,antidepressant,antiviral,70+,moderate
463.42,29.93,60.6,cardiovascular,antidepressant,51-70,moderate
288.29,42.05,20.97,antibiotic,antiviral,31-50,moderate
603.98,41.54,52.48,antidepressant,cardiovascular,18-30,moderate
478.13,40.12,63.76,antidepressant,antiviral,31-50,none
309.85,49.15,25.26,cardiovascular,anti-inflammatory,31-50,none
744.11,6.77,66.48,anti-inflammatory,cardiovascular,18-30,mild
511.26,34.85,35.72,cardiovascular,anti-inflammatory,18-30,none
719.87,32.6,39.24,antiviral,cardiovascular,51-70,none
687.85,17.96,13.58,antiviral,analgesic,18-30,moderate
390.81,9.73,1.66,antiviral,analgesic,51-70,none
274.48,40.83,45.39,antiviral,antibiotic,18-30,none
470.98,18.21,20.93,antiviral,antiviral,51-70,severe
564.98,5.64,20.69,anti-inflammatory,cardiovascular,18-30,none
275.95,36.97,48.72,anti-inflammatory,anti-inflammatory,18-30,none
232.83,46.68,61.74,anti-inflammatory,antiviral,51-70,none
274.7,33.93,71.43,antiviral,antiviral,31-50,none
445.05,46.9,46.51,antiviral,analgesic,70+,moderate
359.95,42.23,29.89,analgesic,antiviral,31-50,none
178.25,36.09,4.33,cardiovascular,anti-inflammatory,31-50,none
153.35,9.81,6.81,anti-inflammatory,analgesic,70+,none
772.55,45.86,14.98,antidepressant,antidepressant,18-30,moderate
556.44,1.49,31.67,analgesic,anti-inflammatory,51-70,moderate
310.65,23.73,69.07,analgesic,antidepressant,31-50,none
303.88,3.74,43.6,cardiovascular,analgesic,51-70,mild
189.45,1.76,23.24,antiviral,analgesic,51-70,none
190.3,40.14,4.89,anti-inflammatory,antiviral,31-50,none
183.93,42.51,29.52,anti-inflammatory,cardiovascular,18-30,none
539.72,33.02,1.75,cardiovascular,cardiovascular,51-70,moderate
370.75,46.89,56.59,cardiovascular,anti-inflammatory,31-50,none
275.11,5.22,43.26,analgesic,anti-inflammatory,51-70,none
564.29,12.89,30.89,antiviral,anti-inflammatory,31-50,mild
308.05,39.87,5.29,antidepressant,anti-inflammatory,31-50,moderate
352.27,44.27,56.06,antibiotic,cardiovascular,31-50,none
372.89,18.5,1.57,anti-inflammatory,antiviral,51-70,mild
692.86,42.95,30.97,antibiotic,antibiotic,51-70,mild
280.82,3.51,14.44,cardiovascular,antiviral,51-70,none
703.81,28.35,24.83,antidepressant,cardiovascular,31-50,severe
218.15,43.82,65.65,cardiovascular,antibiotic,70+,none
453.25,10.74,35.13,antidepressant,antiviral,31-50,none
410.2,41.32,1.48,analgesic,analgesic,31-50,none
436.27,31.6,65.8,antidepressant,analgesic,70+,none
279.43,14.28,16.55,antidepressant,antiviral,18-30,none
277.39,8.89,19.59,analgesic,analgesic,51-70,none
239.21,32.78,63.84,antidepressant,antibiotic,31-50,none
579.59,47.06,70.37,anti-inflammatory,cardiovascular,70+,moderate
192.5,7.31,66.62,antibiotic,antibiotic,31-50,none
429.2,31.84,66.39,anti-inflammatory,anti-inflammatory,18-30,none
498.05,39.5,24.27,analgesic,antiviral,51-70,moderate
779.45,44.3,15.86,analgesic,cardiovascular,51-70,none
549.68,8.45,28.56,antiviral,anti-inflammatory,31-50,none
613.12,26.32,35.31,cardiovascular,cardiovascular,31-50,none
410.61,46.07,42.46,analgesic,antibiotic,18-30,none
407.33,15.37,64.1,anti-inflammatory,antibiotic,70+,severe
393.17,27.57,10.54,analgesic,antidepressant,31-50,none
452.41,31.09,31.25,cardiovascular,cardiovascular,31-50,mild
672.93,15.92,28.15,antibiotic,cardiovascular,18-30,none
203.57,42.15,37.41,antiviral,analgesic,51-70,none
752.29,5.01,6.07,analgesic,anti-inflammatory,18-30,none
346.77,40.8,49.53,antidepressant,antibiotic,51-70,mild
798.7,49.92,54.42,antiviral,anti-inflammatory,70+,moderate
684.5,39.18,29.67,cardiovascular,anti-inflammatory,51-70,none
157.73,32.74,71.24,antibiotic,cardiovascular,18-30,none
301.92,29.39,40.24,cardiovascular,antiviral,51-70,none
371.43,4.39,61.05,cardiovascular,antiviral,31-50,none
169.57,7.03,63.04,antidepressant,antiviral,18-30,none
676.76,41.73,25.13,cardiovascular,cardiovascular,51-70,none
499.44,16.37,2.65,analgesic,antibiotic,18-30,mild
769.21,16.58,45.72,anti-inflammatory,anti-inflammatory,31-50,none
766.65,3.28,28.44,cardiovascular,analgesic,31-50,moderate
775.26,31.99,22.63,antibiotic,analgesic,51-70,mild
542.19,1.44,15.13,cardiovascular,antidepressant,18-30,severe
339.22,26.27,33.28,antidepressant,anti-inflammatory,18-30,none
404.22,49.48,10.17,cardiovascular,cardiovascular,51-70,moderate
402.85,45.19,15.66,antibiotic,antidepressant,31-50,none
542.41,46.96,42.71,anti-inflammatory,antiviral,51-70,none
329.04,0.47,11.13,analgesic,cardiovascular,51-70,mild
520.0,24.6,33.85,analgesic,antiviral,18-30,mild
570.09,45.95,25.62,antiviral,antidepressant,31-50,mild
419.78,9.06,44.86,cardiovascular,cardiovascular,31-50,none
578.4,34.96,7.78,antiviral,analgesic,18-30,mild
558.25,14.67,66.06,antiviral,antiviral,51-70,none
291.22,24.73,71.46,anti-inflammatory,analgesic,70+,none
648.25,16.37,33.02,antidepressant,antibiotic,31-50,none
450.41,3.75,50.31,antiviral,cardiovascular,31-50,none
407.84,0.64,9.14,antibiotic,antidepressant,51-70,none
451.76,23.12,6.86,antiviral,antibiotic,51-70,mild
331.44,8.15,60.53,anti-inflammatory,analgesic,18-30,none
230.7,37.1,12.96,antiviral,analgesic,51-70,none
290.84,1.82,48.93,antibiotic,cardiovascular,51-70,mild
693.73,40.59,46.51,antiviral,antiviral,70+,none
184.07,0.33,55.84,antibiotic,antibiotic,31-50,none
305.05,4.66,30.94,analgesic,antidepressant,51-70,none
773.18,4.92,60.31,antiviral,antibiotic,51-70,moderate
178.61,25.67,58.91,antidepressant,anti-inflammatory,51-70,none
406.79,21.45,17.5,analgesic,antidepressant,31-50,none
159.75,32.73,1.85,antibiotic,cardiovascular,18-30,none
555.54,2.29,63.87,cardiovascular,antidepressant,51-70,moderate
474.72,49.52,51.59,anti-inflammatory,antibiotic,31-50,moderate
560.07,19.49,66.64,antiviral,antibiotic,31-50,moderate
562.98,44.21,23.58,antiviral,cardiovascular,18-30,moderate
441.79,25.6,53.67,anti-inflammatory,anti-inflammatory,51-70,mild
158.64,1.16,54.88,analgesic,antidepressant,18-30,none
201.6,6.96,36.41,antibiotic,antibiotic,31-50,none
567.33,11.98,52.5,cardiovascular,antiviral,70+,mild
661.53,2.08,57.22,cardiovascular,antiviral,51-70,mild
637.86,11.53,53.03,antidepressant,antibiotic,18-30,moderate
792.44,40.09,50.44,antibiotic,anti-inflammatory,70+,moderate
488.96,9.26,45.71,analgesic,cardiovascular,18-30,moderate
242.0,10.29,7.51,anti-inflammatory,anti-inflammatory,51-70,mild
755.68,11.89,6.55,antiviral,cardiovascular,31-50,none
264.68,12.52,21.26,cardiovascular,antiviral,18-30,none
710.58,24.11,68.52,antidepressant,cardiovascular,31-50,mild
546.11,21.73,12.07,cardiovascular,analgesic,51-70,moderate
427.81,4.25,65.36,antidepressant,anti-inflammatory,31-50,none
397.29,15.36,21.11,anti-inflammatory,anti-inflammatory,31-50,none
366.6,35.77,14.9,antibiotic,analgesic,18-30,none
469.44,46.29,67.76,antiviral,antidepressant,31-50,none
350.08,49.38,6.06,analgesic,analgesic,31-50,none
433.59,12.84,65.83,antiviral,antidepressant,31-50,none
467.6,34.46,50.45,antiviral,cardiovascular,70+,none
172.43,40.68,45.8,antiviral,analgesic,51-70,none
569.47,13.14,33.34,antiviral,antibiotic,31-50,none
696.99,0.72,55.74,antiviral,antiviral,70+,none
408.48,29.35,64.97,anti-inflammatory,antibiotic,70+,moderate
599.69,25.08,38.86,cardiovascular,anti-inflammatory,31-50,mild
417.55,43.83,52.66,analgesic,analgesic,51-70,none
242.76,37.46,67.03,cardiovascular,antiviral,31-50,none
791.57,40.84,1.11,analgesic,antiviral,31-50,none
430.12,8.9,14.23,antibiotic,antibiotic,31-50,mild
476.7,5.6,41.26,antibiotic,antibiotic,18-30,none
274.73,49.15,62.88,cardiovascular,antiviral,70+,none
220.98,31.86,6.67,analgesic,cardiovascular,18-30,mild
302.61,24.31,55.0,analgesic,analgesic,31-50,none
770.89,33.3,57.03,analgesic,analgesic,18-30,mild
488.05,48.11,19.87,cardiovascular,cardiovascular,51-70,none
542.84,16.89,49.41,antidepressant,antidepressant,51-70,moderate
395.98,2.96,26.28,antidepressant,analgesic,18-30,none
715.85,20.15,60.31,antibiotic,analgesic,51-70,mild
604.52,40.77,27.16,anti-inflammatory,antiviral,51-70,none
458.88,20.72,14.34,antiviral,antidepressant,18-30,none
674.91,16.34,32.55,anti-inflammatory,cardiovascular,31-50,none
548.19,4.16,31.38,cardiovascular,antiviral,70+,moderate
341.01,9.83,11.16,anti-inflammatory,anti-inflammatory,51-70,none
615.83,1.68,36.35,analgesic,antidepressant,51-70,severe
453.42,44.83,68.81,cardiovascular,antiviral,31-50,none
308.18,8.6,68.04,antiviral,analgesic,18-30,none
753.85,16.39,28.23,antidepressant,antibiotic,51-70,none
582.86,47.58,48.61,antiviral,antibiotic,70+,mild
667.1,16.71,16.89,anti-inflammatory,anti-inflammatory,18-30,none
373.1,45.52,53.75,antiviral,cardiovascular,51-70,mild
434.03,11.75,19.4,antidepressant,analgesic,18-30,none
371.15,29.65,14.36,analgesic,anti-inflammatory,31-50,mild
525.0,0.18,5.39,anti-inflammatory,antibiotic,51-70,none
786.9,16.05,26.92,antiviral,antibiotic,31-50,moderate
406.95,26.96,33.7,antibiotic,antidepressant,51-70,none
474.89,22.84,43.7,antibiotic,antiviral,51-70,moderate
539.27,15.51,71.31,analgesic,antidepressant,70+,none
609.24,23.97,59.84,cardiovascular,antidepressant,51-70,none
366.54,41.41,15.95,antiviral,antibiotic,51-70,severe
184.17,43.29,13.71,cardiovascular,antiviral,31-50,mild
701.54,49.55,39.9,antidepressant,cardiovascular,51-70,moderate
793.7,37.91,28.77,anti-inflammatory,antiviral,31-50,none
706.56,19.75,10.29,anti-inflammatory,analgesic,51-70,none
611.23,22.93,12.62,antibiotic,cardiovascular,51-70,none
291.79,37.44,53.21,analgesic,antidepressant,51-70,none
524.19,33.95,71.18,antibiotic,cardiovascular,70+,none
751.89,4.89,70.17,antibiotic,analgesic,18-30,mild
485.03,16.99,31.8,antibiotic,antiviral,51-70,moderate
407.82,15.2,43.33,antibiotic,antiviral,51-70,moderate
654.3,49.56,48.62,analgesic,cardiovascular,70+,mild
574.58,18.43,9.52,analgesic,analgesic,31-50,none
584.71,25.54,2.63,anti-inflammatory,anti-inflammatory,31-50,none
535.37,19.26,72.0,antiviral,cardiovascular,31-50,none
231.4,16.33,51.68,anti-inflammatory,antibiotic,31-50,none
681.35,39.2,38.64,analgesic,anti-inflammatory,51-70,none
500.34,40.96,47.27,antibiotic,antiviral,70+,severe
266.96,27.78,57.84,analgesic,analgesic,18-30,mild
284.05,8.14,40.94,analgesic,analgesic,70+,none
503.88,21.21,68.11,analgesic,antibiotic,31-50,none
765.04,26.02,56.58,antiviral,anti-inflammatory,31-50,none
489.73,49.3,26.0,anti-inflammatory,anti-inflammatory,18-30,none
214.36,41.01,17.83,antibiotic,antibiotic,31-50,mild
541.39,10.88,26.49,antibiotic,antiviral,51-70,none
198.33,12.82,28.11,antibiotic,cardiovascular,31-50,mild
761.13,7.25,15.47,antiviral,antiviral,31-50,none
561.53,32.31,51.73,anti-inflammatory,antiviral,51-70,none
684.02,15.89,56.93,cardiovascular,analgesic,70+,moderate
310.87,13.58,38.73,antiviral,anti-inflammatory,31-50,none
741.01,38.93,11.39,antibiotic,antidepressant,18-30,mild
395.15,48.44,27.88,analgesic,analgesic,18-30,none
683.87,24.53,38.56,antiviral,anti-inflammatory,70+,none
508.5,30.41,64.66,antibiotic,antidepressant,70+,none
631.84,48.4,38.75,anti-inflammatory,cardiovascular,31-50,mild
232.92,0.57,37.46,antibiotic,antiviral,18-30,none
184.36,36.3,70.19,antiviral,antibiotic,51-70,severe
421.86,22.94,32.17,antidepressant,cardiovascular,31-50,moderate
762.09,44.08,58.8,antidepressant,antiviral,70+,moderate
765.85,20.39,23.2,analgesic,antiviral,18-30,none
257.32,2.96,53.78,anti-inflammatory,cardiovascular,51-70,none
156.95,47.42,49.07,antiviral,antibiotic,31-50,none
727.25,34.92,29.79,anti-inflammatory,antibiotic,70+,mild
634.85,35.74,50.88,antiviral,antidepressant,18-30,none
685.19,44.03,38.5,anti-inflammatory,analgesic,51-70,none
777.02,33.76,63.62,anti-inflammatory,antibiotic,18-30,mild
379.64,2.64,36.18,antibiotic,antidepressant,70+,mild
369.67,33.99,60.05,analgesic,antidepressant,31-50,none
629.72,28.49,16.44,antidepressant,antiviral,31-50,mild
730.72,46.78,64.37,cardiovascular,analgesic,31-50,mild
